id,email,total,distance,subject,date,work_related,day,month,year,hour,date_only,year_month
5453,noreply@uber.com,7.74,1.25,Sua viagem de domingo de manhã com a Uber,2021-09-05 11:01:25,True,5,9,2021,11,2021-09-05,2021-09
5474,noreply@uber.com,18.83,9.93,Sua viagem de quinta-feira de manhã com a Uber,2021-09-09 06:51:26,True,9,9,2021,6,2021-09-09,2021-09
5475,noreply@uber.com,8.44,2.23,Sua viagem de quinta-feira de manhã com a Uber,2021-09-09 07:55:37,True,9,9,2021,7,2021-09-09,2021-09
5481,noreply@uber.com,10.91,3.96,Sua viagem de quinta-feira à tarde com a Uber,2021-09-09 12:24:31,True,9,9,2021,12,2021-09-09,2021-09
5484,noreply@uber.com,9.16,3.19,Sua viagem de quinta-feira à noite com a Uber,2021-09-09 17:37:19,True,9,9,2021,17,2021-09-09,2021-09
5486,noreply@uber.com,19.9,9.33,Sua viagem de quinta-feira à noite com a Uber,2021-09-09 18:10:31,True,9,9,2021,18,2021-09-09,2021-09
5540,noreply@uber.com,7.74,1.51,Sua viagem de sexta-feira de manhã com a Uber,2021-09-17 10:18:00,True,17,9,2021,10,2021-09-17,2021-09
5544,noreply@uber.com,7.74,0.57,Sua viagem de sexta-feira à tarde com a Uber,2021-09-17 12:38:34,True,17,9,2021,12,2021-09-17,2021-09
5564,noreply@uber.com,7.74,0.72,Sua viagem de segunda-feira à tarde com a Uber,2021-09-20 16:31:20,True,20,9,2021,16,2021-09-20,2021-09
5588,noreply@uber.com,7.73,0.72,Sua viagem de terça-feira à tarde com a Uber,2021-09-21 15:17:45,True,21,9,2021,15,2021-09-21,2021-09
5623,noreply@uber.com,20.95,9.93,Sua viagem de sexta-feira de manhã com a Uber,2021-09-24 11:53:05,True,24,9,2021,11,2021-09-24,2021-09
5625,noreply@uber.com,20.92,8.29,Sua viagem de sexta-feira à tarde com a Uber,2021-09-24 13:12:38,True,24,9,2021,13,2021-09-24,2021-09
5640,noreply@uber.com,8.37,1.61,Sua viagem de domingo à tarde com a Uber,2021-09-26 12:21:25,True,26,9,2021,12,2021-09-26,2021-09
5642,noreply@uber.com,9.96,3.11,Sua viagem de domingo à noite com a Uber,2021-09-26 17:24:56,True,26,9,2021,17,2021-09-26,2021-09
5647,noreply@uber.com,9.97,3.0,Sua viagem de segunda-feira de manhã com a Uber,2021-09-27 09:50:29,True,27,9,2021,9,2021-09-27,2021-09
5651,noreply@uber.com,9.97,1.94,Sua viagem de segunda-feira à tarde com a Uber,2021-09-27 14:26:50,True,27,9,2021,14,2021-09-27,2021-09
5695,noreply@uber.com,7.74,1.12,Sua viagem de sexta-feira à tarde com a Uber,2021-10-01 13:06:40,True,1,10,2021,13,2021-10-01,2021-10
5700,noreply@uber.com,12.98,1.86,Sua viagem de sexta-feira à noite com a Uber,2021-10-01 19:01:26,True,1,10,2021,19,2021-10-01,2021-10
5725,noreply@uber.com,9.9,2.6,Sua viagem de terça-feira de manhã com a Uber,2021-10-05 08:41:11,True,5,10,2021,8,2021-10-05,2021-10
5740,noreply@uber.com,17.94,11.84,Sua viagem de quinta-feira de manhã com a Uber,2021-10-07 06:50:04,True,7,10,2021,6,2021-10-07,2021-10
5741,noreply@uber.com,11.5,1.12,Sua viagem de quinta-feira de manhã com a Uber,2021-10-07 07:07:53,True,7,10,2021,7,2021-10-07,2021-10
5742,noreply@uber.com,8.45,2.01,Sua viagem de quinta-feira de manhã com a Uber,2021-10-07 08:47:46,True,7,10,2021,8,2021-10-07,2021-10
5750,noreply@uber.com,27.59,9.44,Sua viagem de quinta-feira à tarde com a Uber,2021-10-07 15:05:21,True,7,10,2021,15,2021-10-07,2021-10
5757,noreply@uber.com,17.9,8.27,Sua viagem de sábado de manhã com a Uber,2021-10-09 10:23:35,True,9,10,2021,10,2021-10-09,2021-10
5763,noreply@uber.com,24.93,8.03,Sua viagem de domingo à tarde com a Uber,2021-10-10 13:15:50,True,10,10,2021,13,2021-10-10,2021-10
5764,noreply@uber.com,28.96,10.71,Sua viagem de domingo à noite com a Uber,2021-10-10 20:41:38,True,10,10,2021,20,2021-10-10,2021-10
5768,noreply@uber.com,8.97,2.46,Sua viagem de segunda-feira de manhã com a Uber,2021-10-11 10:16:54,True,11,10,2021,10,2021-10-11,2021-10
5774,noreply@uber.com,13.99,2.3,Sua viagem de segunda-feira à tarde com a Uber,2021-10-11 15:37:51,True,11,10,2021,15,2021-10-11,2021-10
5780,noreply@uber.com,7.73,0.97,Sua viagem de terça-feira de manhã com a Uber,2021-10-12 10:05:32,True,12,10,2021,10,2021-10-12,2021-10
5791,noreply@uber.com,11.96,3.03,Sua viagem de quarta-feira à noite com a Uber,2021-10-13 18:09:40,True,13,10,2021,18,2021-10-13,2021-10
5798,noreply@uber.com,7.74,1.41,Sua viagem de quinta-feira à tarde com a Uber,2021-10-14 12:54:32,True,14,10,2021,12,2021-10-14,2021-10
5806,noreply@uber.com,7.74,1.14,Sua viagem de sexta-feira de manhã com a Uber,2021-10-15 08:17:58,True,15,10,2021,8,2021-10-15,2021-10
5807,noreply@uber.com,7.74,0.59,Sua viagem de sexta-feira de manhã com a Uber,2021-10-15 08:53:59,True,15,10,2021,8,2021-10-15,2021-10
5839,noreply@uber.com,7.74,0.87,Sua viagem de terça-feira à tarde com a Uber,2021-10-19 14:12:04,True,19,10,2021,14,2021-10-19,2021-10
5855,noreply@uber.com,7.74,1.5,Sua viagem de quinta-feira de manhã com a Uber,2021-10-21 10:03:56,True,21,10,2021,10,2021-10-21,2021-10
5859,noreply@uber.com,7.73,1.5,Sua viagem de sexta-feira de manhã com a Uber,2021-10-22 10:41:48,True,22,10,2021,10,2021-10-22,2021-10
5862,noreply@uber.com,8.96,1.06,Sua viagem de sexta-feira à tarde com a Uber,2021-10-22 12:52:09,True,22,10,2021,12,2021-10-22,2021-10
5872,noreply@uber.com,9.97,4.39,Sua viagem de domingo à noite com a Uber,2021-10-24 19:36:19,True,24,10,2021,19,2021-10-24,2021-10
5873,noreply@uber.com,9.91,3.08,Sua viagem de domingo à noite com a Uber,2021-10-24 20:34:40,True,24,10,2021,20,2021-10-24,2021-10
5972,noreply@uber.com,8.93,1.12,Sua viagem de sábado de manhã com a Uber,2021-11-06 08:02:17,True,6,11,2021,8,2021-11-06,2021-11
5976,noreply@uber.com,7.09,3.67,Sua viagem de domingo de manhã com a Uber,2021-11-07 07:35:42,True,7,11,2021,7,2021-11-07,2021-11
5977,noreply@uber.com,9.01,3.61,Sua viagem de domingo de manhã com a Uber,2021-11-07 07:52:51,True,7,11,2021,7,2021-11-07,2021-11
5993,noreply@uber.com,23.99,9.35,Sua viagem de terça-feira de manhã com a Uber,2021-11-09 06:41:59,True,9,11,2021,6,2021-11-09,2021-11
5994,noreply@uber.com,12.95,2.29,Sua viagem de terça-feira de manhã com a Uber,2021-11-09 07:17:28,True,9,11,2021,7,2021-11-09,2021-11
5998,noreply@uber.com,10.99,2.59,Sua viagem de terça-feira de manhã com a Uber,2021-11-09 10:58:37,True,9,11,2021,10,2021-11-09,2021-11
6001,noreply@uber.com,11.97,1.92,Sua viagem de terça-feira à tarde com a Uber,2021-11-09 16:32:39,True,9,11,2021,16,2021-11-09,2021-11
6003,noreply@uber.com,20.95,9.38,Sua viagem de terça-feira à tarde com a Uber,2021-11-09 17:15:01,True,9,11,2021,17,2021-11-09,2021-11
6012,noreply@uber.com,8.66,1.18,Sua viagem de quarta-feira à noite com a Uber,2021-11-10 20:28:11,True,10,11,2021,20,2021-11-10,2021-11
6024,noreply@uber.com,7.73,1.41,Sua viagem de sexta-feira à tarde com a Uber,2021-11-12 13:41:20,True,12,11,2021,13,2021-11-12,2021-11
6026,noreply@uber.com,7.74,0.61,Sua viagem de sexta-feira à noite com a Uber,2021-11-12 19:46:51,True,12,11,2021,19,2021-11-12,2021-11
6029,noreply@uber.com,9.93,3.16,Sua viagem de sábado à tarde com a Uber,2021-11-13 13:55:32,True,13,11,2021,13,2021-11-13,2021-11
6030,noreply@uber.com,8.41,2.46,Sua viagem de sábado à noite com a Uber,2021-11-13 17:26:19,True,13,11,2021,17,2021-11-13,2021-11
6031,noreply@uber.com,7.73,1.27,Sua viagem de domingo de manhã com a Uber,2021-11-14 07:57:49,True,14,11,2021,7,2021-11-14,2021-11
